Hotel,Date,Review Title,Review
Hudson Hotel,Nov 14 2009 ,Very nice,"Close to Columbus Circle, the localization is pretty good and the hotel looks really nice, with fair rates. "
Hudson Hotel,Nov 12 2009 ,Better than expected,"Our experience was much better than we expected having read some of the reviews. Yes the rooms were small, but this is typical for the price in NYC. The staff was much friendlier than other hotels I've stayed in. No sign outside so look for the small square windows shown on the hotels website, We did not eat or drink in the hotel. Enjoy."
Hudson Hotel,Nov 9 2009 ,terrible,"I've been in Hudson many times before and for some reason this time I really felt it will be the last time for sure. If you look at the hallways and the carpets are really dirty, restaurant was closed due to renovation, breakfast was served in the bar and they didn't have bred to offer. Over priced definitely and yes the rooms are SMALL! OMG in the toilet/restroom you can't even sit in the toilet its that bad. Oh and yes its a party hotel so be aware of the bouncers which are everywhere in the hotel even in our floor they booked one elevator for some &quot;special&quot; guest so it took like 15 minutes to get down. Again I don't want to sound like a douche but this was definitely the worst stay I have had and before I recommended the place but that time is over."
Hudson Hotel,Nov 4 2009 ,"The room was tiny and overpriced; the ""suite"" to which we upgraded was not much better.","The standard room is only large enough for a double bed, with insufficient space to walk around it. I've seen larger jail cells. We upgraded, for an additional $120/night, to what was descibed as a suite. It had the same double bed, 1950's style rec room wood paneling on the walls and no dresser. I find it hard to believe anyone would knowingly stay at this hotels at the prices which it charges for its rooms."
Hudson Hotel,Nov 2 2009 ,TINY roomscool decor...recommend if you don't have to pay full price,"-The rooms are just as pictured...tiny but okay if you are only sleeping. Not much room for luggage and one steel ,uncomfortable chair.Room clean and nice linens,no bathrobe as advertised.Friendly staff.Sky terrace closed even though it was in the low60's.Lobby cool,but dark and loud at night, although did not disturb sleep. Just no place to really sit down and relax.Cafeteria closed for renovations during our stay...complimentary coffee from the breakfast buffet was nice. Also offered umbrella's for use when it rained which was nice. We got a really good deal through Priceline......would not have been happy if we had paid full price."
Hudson Hotel,Nov 2 2009 ,Style over comfort,"Great lobby but standrard room is extremely small, cools style but not comfortable. Not suited for business traveler; no easy outlet for laptop, &quot;desk&quot; is tiny, no comforable chair, metal desk chair is the only chair in the room"
Hudson Hotel,Nov 1 2009 ,clean hotel would stay again,"i searched ALOT for hotels in new york for a trip for me and three friends. i checked out hudson hotel on tripadvisor and there snazzy website! and booked two double rooms for four of us. but then got a fright as there was a video on youtube from a guy showing the room .and said it was the smallest room ever.. but the pictures on the website are exactly what the rooms look like which is good! the room is CLEAN and NEW! i loved the contemporary design of the room. but it is small (they give you the measurements on the website)when you have all your suitcases.but manageable. it is a perfect room for jus sleeping and not hanging around in! the shower nice too and clean . theres a flatscreen tv and ipod dock .handy!inside the hotel u never know wat time it is as it has loads of dim lighting. but loved the design. at nighttime when we would come back they would have loud music in the bar at the lobby. but u cant hear anything in your room! i think they have alot of functions there. but it didnt bother us at all. our window did fall out !!! we put it back and told the reception .and they took money off our bill.there was one girl at front desk, not the smilest but didnt really care!girl who checked us out was lovely. the location was good too. right at culumbus circle subway-across the street. theres deli, supermarket, pharmacy, starbuck etc... on the block. and the best thing ever.wholefoods supermarket was in the shopping centre near the subway. really cheap gorgeous food. if u on a budget! its right near walking to central park .broadway , rockafella, time sq. get subway downtownoh yea, wifi in room was like ten dollars a day .. rip off!! and we bought fon card to ring our friends in new york and they charged for using the fon card..im not uploading my pics as theyy wer reallly lik the website ones.."
Hudson Hotel,Oct 30 2009 ,Terrible and nobody cared,"I recently stayed at the Hudson for a night because the hotel I was booked for the rest of the weekend (Parker Meridien) was not available for the rest of the weekend. When I arrived I was told that the room I booked was not available and that they &quot;Downgraded me&quot; . Now I travel a lot for business and am used to the occasional &quot;upgrade&quot; but have never heard of a downgrade. I was told that was all they had unless I wanted to pay for an upgrade.When we got into the room it wasn't even a double bed, it was somewhere between a single and double. The manager was indifferent but finally gave us a larget but still small room. Without telling us they raised our rate however. The room was still very small and not at all nice.The funny part is that they sent me a survey, I completed it terribly and they didn't call to follow-up but they still add me to their mailing list. I asked to be taken off and they didn't do it, finally I called to complain to their headquarters and they didn't respond or take me off their mailing list still!Bottom line, Stay at the Parker, it was excellent!"
Hudson Hotel,Oct 29 2009 ,Great Stay,"ok so the rooms are small, i wasn't planning to spend any time there. The rest of the hotel and its amenities make up for it. Its exciting vibe and since i was there alone it worked out well that there were a couple bars in the hotel that i can hang out at... Great place."
Hudson Hotel,Oct 28 2009 ,Mini-Vaca,"This was my first time staying in an NYC hotel alone, normally at a friends or with family. I read the reviews good &amp; bad, but i had a pretty decent stay. I really liked the dark entrance, and hallways...added a touch of cool. I will say that the lobby was a bit hectic after 9pm, but i was there to party and shop....so i didnt mind. Especially after being invited to a private party in the club. The room was small...but honestly who goes to NYC to sit in a hotel room. Just enough room to sleep, rest, shower and change clothes. The only thing i didnt like was the 300$ deposit they just slap on your card when you check in. Another thing was that my room key kept gettin demagnetized, i had to get a new key twice....one of those 2 times, i had to wait almost 30mins in line just for a key. Overall it was a nice stay, but they could work on customer service speed."
Hudson Hotel,Oct 28 2009 ,HORRIBLE HOTEL,"I live and work in NYC. I stayed at the Hudson one night because it was close to an event I needed to be at very early in the AM. DO NOT STAY HERE!!! The rooms were horribe. They were tiny (much smaller than your average NYC hotel for the same rate) and the rooms did not have city windows. If you are from NYC you know what city windows are. They are double windows that keep the sound out. They chinsed out and didn't put them in. The room was so noisy that I might as well have slept on the street. Don't be fooled by pictures. The bars are cool and I have been to the bars numerous times. I thought the hotel would be OK. MY MISTAKE. I slept about 2 hours. If you like the pics go to the bar, but definetly STAY SOMEWHERE ELSE."
Hudson Hotel,Oct 28 2009 ,Quirky!,"Spent 4 nights at the Hudson - recommended by our travel agent. Arrived late evening - I suppose our taxi driver knew it well as it had no indication from the roadside that it was the Hudson. Lobby and reception is at the end of a fluorescent green escalator from the roadside. Lobby and reception were dark and moody with lots of dark wood everywhere. Dark corridor lead to the library bar and access to courtyard garden/seating area (outside). Checked in in about 3 minutes. Room on the 4th floor. What strikes you first is the size of the room - quite small by comparison with other US cities. A white net curtain was drawn between the entrance area and bed area. More dark wood panelling, dark wooden floor. Interesting bathroom. Very small but functional. A large glass partition between shower and bed area could lead for interesting views but the shower curtain and net curtain mask any views you might have. Be careful sitting down on the toilet not to bang your head on the wall 3 inches infront of you! Comfortable bed, but air con noisy at times (but not excessively). Bedside lamps can be swivelled to show a white or a green light - nice. Flat screen TV, CD/radio and ipod docking station all available in room. No mini bar, but outside the elevator doors were vending machines for food, drinks (soft) and ice, all cheaper than traditional minibar prices.Breakfast can be taken in a large room just off the lobby that looks as if it was out of the last scenes of the movie 2001. Breakfast was expensive - we ate in one of 2 cafes 50 yards either side of the front entrance.Outside - turn right, is a shopping mall, then Columbus circle, and beyond that - Central Park.About a 15 minute walk to Times Square and the theatres. We saw Rock of Ages - 1980's rock music - very good, very funny - well worth a look.Had reservations for The View - revolving restaurant overlooking Times Square - beautiful food, attentive waiter, water $10 a bottle!Also had tickets for the Top of the Rock - Rockerfeller Centre. Similar to top of the Empire State - excellent views of Central Park, not so good of the Chrysler Building.Also visited Liberty Island. Be prepared for airport style security checks before you get on the ferry. No tickets for the crown of the statue - sold out till January we heard.Use the subways to get about - buy a Metrocard ticket from the machine in the subway - $8 for 4 rides, or share it between a couple. Fast, efficient, clean - no worries at all.Walked our legs off - blisters, but wonderful city to visit."
Hudson Hotel,Oct 28 2009 ,Find another hotel,"Our first room was on one the sixth floor so it was very very loud, loud enough that you couldn't sleep even with the window closed. The street outside constantly had people yelling, cars honking, garbage trucks banging. The room itself was tiny and there was mildew all over the ceiling. That's why we asked to be moved to another room higher up, which the hotel agreed to. While we were out in the city the hotel staff without our consent or presence went into our room and moved our belongings to another room. In the process my friend had her purse, shoes, make up, basically whatever was of value that was not locked up in the safe stolen. When we reported this to the &quot;security&quot; it was like talking to a wall and we were sent in circles where each staff referred us to another staff who referred us to another staff, until it was time to leave the hotel and go back home. How much luck do you think we had once we tried to get this looked into after coming home if they were useless while we were talking to them face to face. Do yourself a favor, find a reputable hotel even if it costs a little more or is a little out of the way."
Hudson Hotel,Oct 27 2009 ,Imagine the kids who work at Abercrombie having their own hotel.,"I have to say, this hotel was quite a disappointment. The housekeeping was lousy (never replacing dirty glasses), every bulb went out in our room over our week's stay, the bathroom is very tiny (you have to move aside from the door to open it), and it just felt amateur. If you are staying for more than a weekend, this is not the place.We had the feeling as if the &quot;cool&quot; kids who work at Abercrombie and Fitch decided, in Little Rascals' fashion, &quot;Hey gang, let's open a hotel!&quot;. If you like the bars (I did like the Library bar very much), stop by, but don't stay in the hotel. Not worth it. They should walk down the street to 6 Columbus (where we moved, and loved it) or the Mandarin Oriental to learn some basic Hotel 101."
Hudson Hotel,Oct 27 2009,An Absolute Joke,"Location: goodLobby : trendyRoom : absurd!How can this hotel get ANY stars? We booked a room for two. I was getting a bit worried when the hallway looked like what I imagine a NY state penitentary does, dark, dreary, grey. When we opened the door and almost hit the bed, I knew we were in trouble. You would have to walk sideways to get into the &quot;bed&quot;,and I use that term loosely. The top of the bed was below my knees. The bathroom made the airline bathrooms seem spacious. Another wonderful touch was the glass window between the bathroom and bedroom. Plastic cups, a bathroom sink that didn't drain, poor air circulation, paper thin walls, a business center that didn't work....do yourself a favor and book a motel 6. It would be a definite upgrade."
Hudson Hotel,Oct 26 2009,A Great Visual extravaganza,"The Phillip Stark design made the hotel quite unique. The outdoor bar, the library and the indoor bar with a painted ceiling, and all with quirky furniture, made for a very interesting shared space. The room was small but adequate- clean sheets and towels every day and friendly staff. There was a great view from the window on the 16th floor."
Hudson Hotel,Oct 25 2009 ,Small very small (and we are NYers),"Ok, so the reviews said the rooms were small and they weren't kidding. Our queen size room had maybe 2 feet of space around the perimeter of the bed... and that was it. Hudson Cafeteria... closed. Sky Terrace... closed. Library... too jam packed to even walk into it. Hudsons Bar... loud and young. We would rate the hotel as &quot;trendy&quot; for the 20-30 year old crowd. For those of us in our 40's, not really a place that we felt we wanted to spend much time in. The location was very convenient but would not have been very happy if we had paid regular prices as opposed to using Priceline. We would not go out of our way to stay here again."
Hudson Hotel,Oct 25 2009 ,Cool lobby  shoe box sized room,"I have stayed at The Hudson before merely because the price was right ($200). The positive attributes of The Hudson include an unique lobby, several nice bars including one on the roof, and ideal location if you are seeking to be near Columbus Avenue toward the bottom of Central Park. The major negative is the room size. Earlier in the same week I stayed at another 4 star major hotel chain in NYC and the room was three times the size for $60 more.I was traveling solo this trip for leisure and business. However, I couldn't help to think that if I was traveling with a partner how gravely disappointed I would be with the room. It is cramped and if you are tall or a larger sized person I believe you would find the bathroom a challenge to move around in. There is also nothing romantic about the rooms. They are modern, sparse, and have dark wood paneling. One nice touch is the iPod docking station. Staying here twice now, both times I had small rooms. This last time though it was exceptionally small. I knew this going in and if price point is a consideration and room size does not matter to you, then The Hudson is a fine choice. If you are looking for a pleasant room with some walking space and / or a hotel that is comfortable and perhaps a nice get away with your partner, I would not recommend The Hudson. If value and location matter to you and room size does not, then this would be a logical choice."
Hudson Hotel,Oct 22 2009 ,Designed by Starck = Minimalist = Bedrooms Plus VERY DARK,On arrival - austere frontage and entrance (no name on building) escalator leads to large but very dark lobby area. Helpful Staff - (especially concierges who were first class - in particularly Brian) Corridors on each floor to rooms painted DARK BROWN! - Rooms = VERY small. Even after upgrade still small plus NO DRAWERS = Live out of a suitcase !!!!!Heating switched in through the night every two hours - Waking everyone up plus what sounded like someone running a stick against a railing!Others mentioned curtains - they were lucky! For us just blinds but draft from windows quite severe. Great location - spoiled by the size of the rooms and VERY dark decor everywhere - (including restaurant where two candles had to be put on table - just to read menu!).Good external 'roof terrace' behind reception - spolit by 'cocky' barman stating couldn't sit out with drinks!!!!
Hudson Hotel,Oct 20 2009 ,Just o.k. -- great location nice rooms ,"Great location. Attentive staff, nicely appointed rooms and public spaces. Had a problem with the heat (pumped out lava-hot air even with the thermostat set at 60 degrees). I eventually gave up, shut off the thermostat and opened a window (which wasn't functioning, so I propped it open with a towel). Lots of street noise relative to other NYC hotels (even on 14th floor with window shut). Colleagues had similar issues with noise from adjacent rooms and temperature control/"
Hudson Hotel,Oct 19 2009 ,Great location,"If you want to stay in a central location while visiting Manhattan then this is the place for you. The hotel is located less then a block from the Columbus Circle subway stop. If you are traveling in from JFK airport the subway is the only way to go. Catch the Airtrain to Howard Beach then catch the A train subway from Howard Beach to Columbus Circle (59th Street). Buy your $7.25 Metrocard ($5 Airtrain, $2.25 subway) at the subway station after you exit the Airtrain but before you get on the subway. If you are traveling with more then one person you can purchase one ticket for up to 4 people. If you do this, the first person can swipe the card up to 4 times and the rest of your party can walk right through.If you are traveling with two people and don’t mind snug quarters then get one of the smaller rooms. If you are traveling with more then 2 people get a double. We traveled with three adults and had plenty of room in a double. You pay more for the bigger room but well worth the money. Located next to the hotel is a Europan cafe. You can get great breakfast or a late night snack. There are two great pubs around the corner on W 57th Street (one block away) Kennedy’s and DJ Reynolds. Both are good for food and drinks and a very easy walk. Central Park is just a block away and Times Square is within walking distance. If you have a good map you will see this hotel is in a great location. It’s not fancy, but a clean and easy way to get around Manhattan."
Hudson Hotel,Oct 19 2009 ,Great Location,"We stayed here for 4 nights and had a great time, even though the rooms are small they are very well laid out and ours was spotless. Brilliant decor in reception and even though the night club is very loud when you are in the lobby we didn't hear a thing in our bedroom. The restaurant was a little too dark, difficult to read the menu, but the food was great. I would defintely stay here again."
Hudson Hotel,Oct 14 2009 ,Rooms need a refurb badly - you will be dissapointed!,"I stayed here recently and upon arrival I have to say it lived up to my expectations. Public areas are stunning , however it was all downhill after that or more that a fifty foot drop into hotel room hell. Firstly despite being after check in time, my room wasn't ready, no problem I was happy to wander off and have a coffee and come back later. When I returned back they had accidentally given my room to someone else with the same surname but no problem they had another one. Great. Then I checked into it. My god. I had booked a room for 2 people, myslef and my sister and the new room was a single occpancy room which they were trying to pass of as a double. First clue was the 1 bed which was not even a double and the fact that the room was set up with 1 towel and 1 glass etc. when I called down to complain I was greeting with an attitude of sorry that's our style this is a double room. Hmmm nothing to do woth the fact they made a mistake. After 3 phonecalls and a trip to reception to finally track down teh guest manager I was moved to a room suitable for 2. Great. Nope. Drawers were broken and the shower pressure was so bad it was like a dripping tap not to mention teh orange mould encasing the shower head. I mentioned the shower politely to the recpetion who said &quot;oh yeah we have issues with water pressure - sorry nothing we can do&quot;. Overall this hotel is nothing more than a cocktail bar with bedrooms that are 2-3 star at a stretch. Sorry Hudson Hotel I will not be coming back nor will I be staying at any of your hotels ever again and I will tell as many people as possible how poor your standards are. Do yourself a favour and splash some of your profit on a room refurb plan and make your rooms live up to your reputation. At the very least scrub the shower and fix the water pressure."
Hudson Hotel,Oct 14 2009 ,Arrogant Trendy B.S.,"We stumped for one of the largest rooms #549. Still had to avoid banging my head on the TV to get out of bed. Questionable stain behind the toilet reported to housekeeping 3 times. Air con/Heat broken. Window cracked and 24/7 vent from main air duct from entire bldg outside the window. Shower drain blocked. Hole in wood flooring beside bed. Hallway carpet filthy. Waited 3 times for over an hour for engineering and they never came. $9 for a Heineken. And dark/no light at check-in. When I asked &quot;Ryan&quot; - he said that was his name what I was being asked to sign and initial, he said, &quot;well it's not like you're signing your life away&quot;. Shame on you Morgan Group. You know better. Viceroy LA and Hard Rock Vegas are well run. Maybe you should review your management staff at that location. We were there for 5 days with a large wedding party who spent plenty and we were still treated like dollars walking thru a revolving door. Pretentious has no place in this economy. I left a note 36 hrs ago with my email and phone on check out and no-one has even bothered to call me and apologize."
Hudson Hotel,Oct 14 2009 ,Tiny rooms but IKEA sensibility and Design Within Reach aesthetic make it work,"If you're looking for a super-chic centrally-located NYC hotel experience, but you're on a tight budget, the Hudson is the way to go. You can get in next to Columbus Circle (southwest corner of Central Park) for just over $200 -- a steal in that neighborhood and for this kind of hotel.You're greeted by one of the swankiest lobbies around, with a lounge decorated like the mystical outer space-time room at the end of 2001: A Space Odyssey. You can watch hipsters grind on the dance floor (we admit they were a sexy bunch), and the music is fun, but beware the drink tab -- two drinks cost $35 with tip (!).Even the elevator is cool -- we overheard three different groups commenting on how interesting the walls of the elevator were. (It's a cool metal pattern -- you'll have to visit to see what we mean.)The rooms are clean, neat, and well-decorated, with comfy beds.So how is this just over $200? Well, the rooms are tiny. Matchbox-sized. It brings Tokyo to mind. In our room there was barely enough space to walk around the bed, and the shower was a standup right next to the toilet and sink. But they make it work -- everything fits just so, with clever shelving and furniture configured so there's just enough room to shower, sit at the desk, move around the bed, and put your luggage down. So after you get over the initial &quot;wow, this is tiny&quot; shock, you'll be impressed at how well it works.Take it for a spin -- great for date trips, outings with friends, and for entertaining your favorite Euro-guest."
Hudson Hotel,Oct 13 2009 ,Chic Hotel,"The Hudson Hotel was a chic hotel. the rooms are cute but a little uncomfortable as they are VERY small. Realistically the bathroom is difficult to sit down on the toilet and not bang your knees on the wall. the minibar was taken out of the rooms and everything is located by the elevators and make sure you request a room that doesn't face the courtyard area becuase you can hear the noise at night from the bar. Otherwise the hotel is located in a great spot, across the street from Time Warner Center for shopping and Porterhouse a great steakhouse. Pinkberry and Starbucks are all down the street and a great sushi restaurant also on the same block. Would definately stay here again :)"
Hudson Hotel,Oct 13 2009 ,The Hudson is about the Property the room is just for sleeping...,"I really enjoyed the Hudson. There are a few reviews on here complaining about the room size at the Hudson, if you are going to be spending alot of time in your room and are looking for &quot;spacious quarters&quot; , the Hudson isn't for you. The Property, however, is brilliant, and I would stay there again in a heartbeat. With 3 Bars, one on the roof with amazing views, a nightclub thats open until at least 2AM and a Library Bar for something a bit more conservative, staying at the Hudson is kind of like moving into a very well appointed and service orientated nightclub and 5 star Restaurant! Having a comfortable but &quot;smaller&quot; room is quite an acceptable trade off to the properties overall comfort and services. I travel for business, so it's white collar by day and leather jacket at night, its awesome to know that when I get back to the Hudson, that the scene is a Hotspot (Lady Ga Ga's dancers were staying there at the same time for the VMA's).One block away from 59th street station, easy access to Penn and Grand Central where ever your business may take you."
Hudson Hotel,Oct 13 2009 ,OK...but there are better places out there,"Just arrived back this morning from a long weekend at The Hudson.I was well prepared for the size of the bedrooms, it was the bathroom that made me laugh! I am a petit young lady but I still only had 6cm ( I just HAD to measure it) from knee to wall when I was sitting on the loo! Bathrooms are WAY too small, anyone larger would have to climb over the toilet to get to the shower, I kid you not!Bathroom amenty kits were basic, not even a shower cap, let alone a bath robe.Air Con was a rattling old machine situated behind the bed, which we were lucky we did not use whilst in the room, far too noisy and I can imagine there were a lot of grumbles from the American guests who cant seem to live with ACThe rooms were very clean, a bit too basic, I do like a mini bar ( only so I can empty it and put all my Whole Food goodies in it), Tv was fine although easy to wack your head on. Other people have commented on the &quot;cabin&quot; like feel, it is a good way to describe it, however the bathroom on our boat is bigger than at The Hudson!We were on a the 6th floor facing south, if you are looking for peace and quiet this is not the hotel for you, it sounded like rockets were racing up and down 8th Ave most nights, did not bother me, I was sufficiently pickled not to care.Although the rooms were spotlessly clean, I did note the corridors were in need of a good vacuum,the edges of the dark grey carpets were VERY dusty. The corridors in general were looking tired, carpet starting to fray in areas, nasty scuffs to service doors and guest rooms doors. All well and good having dim lighting, but perhaps they need to turn it up when they are cleaning so they can see what they are doing.Staff were all friendly and helpful. Although the concierge desk was always busy busy busy and I am glad that I know New York well enough not to have needed to line up to ask a question.As was the front desk most of the time, I would recommend the Express check out in this case, most people have better things to do than line up on their last day in Manhattan!Bars were interesting and unique, we liked them all,expensive drinks but it is Manhattan, in a trendy hotel.We ate in The Hudson Caferteria the first night, nothing amazing...again too dark I could not even read my menu let alone see the food! The meal was not memorable put it that way!In a nut shell this hotel is for young, trendy crowd, I actually felt sorry seeing some of the older generation exit the lifts in the morning, wondering how they slept with the noise and managed to get in the bathroom with walking sticks and zimmer frames.There are better hotels in New York, glad I went but it would not be my first choice on my next visit if I was being honest"
Hudson Hotel,Oct 11 2009 ,Great location small rooms,"We stayed at this hotel for both business and leisure. We got a deal on Priceline, otherwise the regular room prices are expensive considering the rooms are very small. Though small rooms, they were nice and clean with design furniture. Also to restaurant area and the bar is very very nice.The service was good. Our initial impression was very negative because they did not have our room ready on time and made us wait 2 hours more for it, but they were apologetic and treated us to free drinks at the bar and free breakfast.The location is awesome, only one block from central park."
Hudson Hotel,Oct 10 2009 ,Very Uncomfortable Rooms !,"Don't waste your time if looking for comfort.What were they thinking with the Bathroom designDark and Tiny rooms, will never, ever go back!"
Hudson Hotel,Oct 9 2009 ,great,Superb hotel great staffGirls on help desk have patiance and knowledge of were to go and what to do
Hudson Hotel,Oct 9 2009 ,Pack light! Super teeny tiney room.,"I got &quot;upgraded&quot; to a better room than I paid for but it was still soooo small. The rooms barely have a closet, it's more like a cubby hole. The bathroom is even smaller! If you're tall, you'll hit your knees on the wall when sitting on the toilet. The hall ways are soo dark and dismal. The staff was nice enough and the rooms clean but it was just too uncomfortable staying there with my guy friend. Unless you pack light and have only 1 suitcase and don't plan to go shopping, this place is claustraphobic. I would happily stay here by myself though. It's nice enough and the locale is convinient but pretty much anywhere in NYC is convinient to me since I mostly like to go shopping."
Hudson Hotel,Oct 8 2009 ,4 out of 5,"Very small rooms and bathrooms. Very little light in rooms, hard to read.Skybar on 15th is a nice place to relax.Staff were all very nice.Try to get the buffet breakfast included in your package, it is very good and the room is coolNice gym with new equipmentHotel feels like a nightclub, so may not appeal to all travelers.Good location to most attractions"
Hudson Hotel,Oct 8 2009 ,Worth every penny. Great design hotel,"Great design hotel. Even though the Hudson has been a household name for a few years it is worth every penny. It is stylish, comfortable and mixes an electric atmosphere with friendly undertones. The bar is as famous as the hotel and still gets busy with a young crowd at weekends dont expect drinks to stop until the late hours it can be slightly noisy in rooms so if you like a peaceful nights sleep this isnt the hotel for you. Drinks are expensive but a great bar to start or end your night in. Rooms are modern and very small but clever design tries to disguise this. Great area to access the city and some great independant bars and cafes situated near the hotel. Would recommend this hotel to anyone who likes a lively stylish hotel close to all the major attractions. would definetely return."
